Направление расходов,Наименование вида расходов,Вид объекта,Дата проведения,Конечный остаток
"Мордовцева, 6",ЭЭ,Здание,13.01.2022,13920.02
"Пушкинская, 8б",ЭЭ,Здание,19.01.2021,226.79
"Пушкинская, 8б",ЭЭ,Здание,20.02.2021,161.12
"Пушкинская, 8б",ЭЭ,Здание,22.03.2021,115.67
"Пушкинская, 8б",ЭЭ,Здание,21.04.2021,126.38
"Пушкинская, 8б",ЭЭ,Здание,20.05.2021,341.56
"Пушкинская, 8б",ЭЭ,Здание,22.06.2021,63.29
"Пушкинская, 8б",ЭЭ,Здание,21.07.2021,121.25
"Пушкинская, 8б",ЭЭ,Здание,23.08.2021,125.06
"Пушкинская, 8б",ЭЭ,Здание,23.09.2021,127.08
"Пушкинская, 8б",ЭЭ,Здание,20.10.2021,4113.48
"Седова, 32",ЭЭ,Здание,20.01.2021,186.77
"Седова, 32",ЭЭ,Здание,19.03.2021,173.5
"Седова, 32",ЭЭ,Здание,26.04.2021,183.25
"Седова, 32",ЭЭ,Здание,19.05.2021,164.45
"Седова, 32",ЭЭ,Здание,21.06.2021,170.87
"Седова, 32",ЭЭ,Здание,21.07.2021,144.35
"Седова, 32",ЭЭ,Здание,22.07.2021,179.72
"Седова, 32",ЭЭ,Здание,18.08.2021,162.59
"Седова, 32",ЭЭ,Здание,23.09.2021,146.15
"Седова, 32",ЭЭ,Здание,22.10.2021,143.74
"Седова, 32",ЭЭ,Здание,23.11.2021,153.38
"Седова, 32",ЭЭ,Здание,20.12.2021,158.1
"Фонтанная, 19",ЭЭ,Здание,19.01.2021,1640.89
"Фонтанная, 19",ЭЭ,Здание,20.02.2021,1791.01
"Фонтанная, 19",ЭЭ,Здание,22.03.2021,1310.89
"Фонтанная, 19",ЭЭ,Здание,21.04.2021,1895.68
"Фонтанная, 19",ЭЭ,Здание,20.05.2021,1454.78
"Фонтанная, 19",ЭЭ,Здание,18.06.2021,52314.56
"Фонтанная, 19",ЭЭ,Здание,22.06.2021,2075.71
"Фонтанная, 19",ЭЭ,Здание,21.07.2021,1951.5
"Фонтанная, 19",ЭЭ,Здание,26.07.2021,-52314.56
"Фонтанная, 19",ЭЭ,Здание,23.08.2021,2307.52
"Фонтанная, 19",ЭЭ,Здание,23.09.2021,2833.97
"Фонтанная, 19",ЭЭ,Здание,20.10.2021,3107.35
"Фонтанная, 19",ЭЭ,Здание,19.11.2021,2565.78
"Фонтанная, 19",ЭЭ,Здание,22.12.2021,2405.83
"Семеновская, 29",ЭЭ,Здание,19.01.2021,229.59
"Семеновская, 29",ЭЭ,Здание,20.02.2021,243.11
"Семеновская, 29",ЭЭ,Здание,22.03.2021,210.58
"Семеновская, 29",ЭЭ,Здание,21.04.2021,224.54
"Семеновская, 29",ЭЭ,Здание,20.05.2021,212.99
"Семеновская, 29",ЭЭ,Здание,22.06.2021,337.4
"Семеновская, 29",ЭЭ,Здание,21.07.2021,455.99
"Семеновская, 29",ЭЭ,Здание,23.08.2021,455.35
"Семеновская, 29",ЭЭ,Здание,23.09.2021,7621.21
"Семеновская, 29",ЭЭ,Здание,20.10.2021,12773.23
"Семеновская, 29",ЭЭ,Здание,19.11.2021,12744.23
"Семеновская, 29",ЭЭ,Здание,22.12.2021,12482.52
"Калинина, 261",ЭЭ,Здание,19.01.2021,38301.39
"Калинина, 261",ЭЭ,Здание,20.02.2021,32128.29
"Калинина, 261",ЭЭ,Здание,22.03.2021,32681.61
"Калинина, 261",ЭЭ,Здание,21.04.2021,40016.64
"Калинина, 261",ЭЭ,Здание,20.05.2021,39335.43
"Калинина, 261",ЭЭ,Здание,22.06.2021,35694.6
"Калинина, 261",ЭЭ,Здание,21.07.2021,30846.28
"Калинина, 261",ЭЭ,Здание,23.08.2021,39136.63
"Калинина, 261",ЭЭ,Здание,23.09.2021,43669.0
"Калинина, 261",ЭЭ,Здание,20.10.2021,39943.23
"Калинина, 261",ЭЭ,Здание,19.11.2021,47820.82
"Калинина, 261",ЭЭ,Здание,22.12.2021,41592.21
"Океанский пр-т, 34",ЭЭ,Здание,19.01.2021,349112.27
"Океанский пр-т, 34",ЭЭ,Здание,20.02.2021,320098.49
"Океанский пр-т, 34",ЭЭ,Здание,01.03.2021,340.84
"Океанский пр-т, 34",ЭЭ,Здание,22.03.2021,319516.64
"Океанский пр-т, 34",ЭЭ,Здание,21.04.2021,305680.63
"Океанский пр-т, 34",ЭЭ,Здание,20.05.2021,291476.97
"Океанский пр-т, 34",ЭЭ,Здание,22.06.2021,275392.4
"Океанский пр-т, 34",ЭЭ,Здание,21.07.2021,275569.23
"Океанский пр-т, 34",ЭЭ,Здание,23.08.2021,332928.79
"Океанский пр-т, 34",ЭЭ,Здание,23.09.2021,346304.74
"Океанский пр-т, 34",ЭЭ,Здание,20.10.2021,324196.24
"Океанский пр-т, 34",ЭЭ,Здание,19.11.2021,314330.82
"Океанский пр-т, 34",ЭЭ,Здание,22.12.2021,310667.61
"Светланская, 71",ЭЭ,Здание,19.01.2021,172753.39
"Светланская, 71",ЭЭ,Здание,20.02.2021,188771.46
"Светланская, 71",ЭЭ,Здание,22.03.2021,181056.21
"Светланская, 71",ЭЭ,Здание,21.04.2021,181155.99
"Светланская, 71",ЭЭ,Здание,20.05.2021,178190.47
"Светланская, 71",ЭЭ,Здание,22.06.2021,151549.13
"Светланская, 71",ЭЭ,Здание,21.07.2021,141316.46
"Светланская, 71",ЭЭ,Здание,23.08.2021,168278.82
"Светланская, 71",ЭЭ,Здание,23.09.2021,167251.28
"Светланская, 71",ЭЭ,Здание,20.10.2021,149057.0
"Светланская, 71",ЭЭ,Здание,19.11.2021,138253.15
"Светланская, 71",ЭЭ,Здание,22.12.2021,144100.81
"Мордовцева, 6",ЭЭ,Здание,18.01.2021,16247.87
"Мордовцева, 6",ЭЭ,Здание,02.03.2021,13612.06
"Мордовцева, 6",ЭЭ,Здание,06.04.2021,11317.78
"Мордовцева, 6",ЭЭ,Здание,22.04.2021,13722.24
"Мордовцева, 6",ЭЭ,Здание,03.06.2021,13320.78
"Мордовцева, 6",ЭЭ,Здание,02.07.2021,13874.16
"Мордовцева, 6",ЭЭ,Здание,22.07.2021,12071.17
"Мордовцева, 6",ЭЭ,Здание,11.08.2021,11452.73
"Мордовцева, 6",ЭЭ,Здание,15.09.2021,11846.62
"Мордовцева, 6",ЭЭ,Здание,08.10.2021,11751.87
"Мордовцева, 6",ЭЭ,Здание,09.11.2021,12919.31
"Мордовцева, 6",ЭЭ,Здание,06.12.2021,12792.18
"Светланская,69",ЭЭ,Здание,05.02.2021,28308.64
"Светланская,69",ЭЭ,Здание,05.03.2021,30949.11
